system   D            wsystem.c:583  maybe_parent_dir                 [   0.00068] Also searching C:\Users\apaar\Documents\Crowbot\Crowbot\
display  D   display_settings.c:377  _al_score_display_settings       [   0.07408] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.07409] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.07410] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.07411] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.07412] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.07413] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.07415] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.07418] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.07419] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.07420] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
